week,accuracy,f1,precision,recall
1,0.8567810917276308,0.5963521015067407,0.7736625514403292,0.48516129032258065
2,0.8550928531232415,0.6221570066030815,0.7895716945996276,0.513317191283293
3,0.8508722566122678,0.5972644376899696,0.7690802348336595,0.48819875776397514
4,0.8581879572312887,0.6221889055472264,0.7950191570881227,0.5110837438423645
5,0.855374226223973,0.6117824773413897,0.7584269662921348,0.5126582278481012
6,0.8103545301069218,0.3008298755186722,0.9177215189873418,0.17990074441687345
7,0.812886888013506,0.2619311875693674,0.8872180451127819,0.15364583333333334
8,0.808947664603264,0.2706766917293233,0.8936170212765957,0.15949367088607594
